state,total_violent_crime,household_income
VA,397,31928
TX,1701,37617
GA,205,33757
TX,7750,47432
MS,1852,41025
KS,1070,50287
TX,22636,40157
NM,336,27430
GA,249,35625
GA,1906,32484
MT,315,36920
IL,3420,46559
IN,855,44128
GA,11206,45794
MO,163,31132
OK,621,39267
IA,64,45871
GA,2415,43832
MS,1793,35715
TN,1105,40759
MO,5394,44363
KS,1348,51178
TX,3465,41354
SC,6802,52427
GA,293,40771
GA,1012,37898
TX,2049,40795
TN,783,38495
TX,912,40417
SC,5161,41788
TN,1212,34641
GA,835,35817
GA,184,32628
KY,1615,61893
MD,3955,93160
SC,381,25252
TX,669,43994
MI,8428,45775
GA,491,41586
NV,13016,53040
IL,4457,48702
TX,1591,40653
MA,17270,67311
GA,248,30049
TX,2392,40900
WV,511,34454
GA,986,35615
TN,1816,31943
KS,5054,49508
IL,248,42260
TX,16,46875
MS,935,26619
MN,1167,45045
KY,15893,48398
GA,218,30521
TX,1323,39776
OK,1720,41012
TX,5029,44891
MT,109,43409
WA,30050,49233
WV,1836,34842
TN,878,36741
IA,1159,51555
VA,7247,69743
TN,543,37631
MA,11196,75092
MO,6197,48627
NE,11911,51574
MD,2826,39293
TX,931,44152
KS,326,46035
TX,452,47513
MT,219,33519
FL,496,33981
MO,154,27743
MO,111,34496
GA,3229,50580
TX,1929,40104
MO,3626,46516
FL,1646,43640
MD,2410,57952
OR,1537,42365
WA,11255,43506
IA,253,54554
KS,543,45212
TX,396,40601
GA,3623,52579
GA,585,34239
VA,1472,34984
IL,960,36273
GA,4125,40821
TX,2560,49507
NM,5963,52917
FL,921,35698
FL,35178,49596
TN,1202,39467
TX,143,42279
IL,1244,43125
MO,218,41169
MD,1073,58632
TX,760,38823
NV,1446,70238
TX,235,42045
OK,212,36354
SC,8600,54061
RI,20819,49297
TX,1881,45675
FL,21348,43113
TN,1571,44318
TX,150,36753
NM,869,37899
VA,715,32221
TX,51600,58025
TN,3653,45991
MO,527,53826
NJ,13470,68507
VA,2385,38138
NM,368,31161
TX,2172,50657
MO,293,48433
TN,2640,43620
SD,599,59338
MS,3037,36203
TX,107,49150
FL,387,37716
IN,9994,44582
GA,1953,34035
MS,541,31446
IL,585,37800
VA,93,47292
TN,896,35273
GA,2109,34793
TN,1024,52446
KS,2726,47215
IL,85,33717
FL,17301,47439
GA,294,41550
OK,11190,54989
TN,599,42291
WA,87570,71811
OK,1579,49637
NM,270,106686
KY,1955,46071
TX,2071,51750
GA,244,39452
MS,594,41494
KS,701,40916
TN,345,34397
KS,685,50185
TN,4419,43649
MA,3318,48450
MS,483,30764
IA,318,43589
GA,6059,54893
PA,10734,55170
KS,164,37111
IA,263,43288
WV,5032,38374
FL,11644,58175
SC,7083,44509
KS,1928,37378
WI,557,38550
IA,435,39208
VA,1049,71036
TX,1209,43096
PA,1653,43997
IL,608,41952
SD,5375,52345
GA,560,41016
GA,1702,40926
ID,271,64042
TX,2074,36777
WV,88,27645
TN,762,34399
IA,191,51670
FL,3304,39100
FL,8334,45035
WV,2913,42287
TN,117,27115
TN,2983,60390
ID,236,50473
GA,435,39067
MT,153,57906
UT,49600,60555
MO,1585,32533
TX,662,37081
KS,33,41765
WV,1026,54854
MO,520,32291
GA,1013,37292
VA,819,44847
TX,157,28390
PA,4366,49217
FL,14805,43888
GA,3727,37365
TX,382,51534
VA,2568,66085
KS,142,46512
IL,233,48866
IL,313,42133
MA,1479,53663
OR,8569,44005
FL,12283,49052
TX,33273,34146
GA,724,60104
MI,3713,46615
GA,2985,41161
KS,171,44078
SD,55,46597
VA,2102,30786
MO,108,39385
MO,170,32078
OK,102,26688
SC,1197,34202
IA,16665,59018
NM,306,30802
MI,1358,44051
OK,409,32556
TN,1108,36950
WA,61,51548
TN,631,41268
IN,6735,43540
WV,140,32723
IL,3339,50102
FL,4222,44772
MD,579,38447
MO,545,38579
MN,131,40282
OK,1671,43885
IL,342,43605
TN,213,39781
GA,394,26968
KS,75,52264
TX,766,52453
TX,380,47019
IA,4093,45856
WA,4213,47596
FL,95,39722
NE,109,38548
PA,2088,41030
TN,269,33386
MS,3313,28093
IL,1781,45073
UT,1249,42369
MO,29934,58910
TX,808,35598
TN,1587,39745
TX,351,39940
IN,5593,44246
MI,2453,45376
HI,2813,62052
IL,1555,40667
TX,180,49038
GA,3813,46147
TX,4108,62993
GA,500,42565
UT,932,44724
GA,2960,52369
TN,416,39074
PA,117,40964
GA,621,41141
TX,1715,31395
KS,96,50605
KS,83,46667
MS,5318,48943
NV,1287,46137
IA,386,46951
FL,783,52691
TX,193,49964
IN,2257,38350
WV,518,31163
IA,443,51826
ID,5005,49002
FL,5150,41024
IL,1410,41010
TN,299,35306
TN,3637,55509
TN,369,34604
MI,9647,59055
MN,919,47862
OR,47,33611
TX,458,45146
WA,3911,45949
GA,210,29012
MS,445,34534
SD,511,48341
TN,131,32845
FL,233,34694
IL,135,52233
MS,278,23689
MT,3987,46117
GA,630,32054
MI,20857,53451
TX,264,37679
MT,155,47831
TX,379,37079
MI,308,29379
MT,211,38958
OK,596,44972
TN,949,42904
KS,137,53213
SC,895,36413
NV,35,64632
WI,379,43276
ID,416,40126
IA,413,63076
MS,65,26028
TX,1135,46600
MT,6108,51342
MT,46,37151
MI,270,40295
GA,135,32260
IL,174,43502
IN,12111,49370
MT,262,58112
MO,917,50830
TN,207,23892
MI,730,41637
TX,44,42411
IL,140,52832
VA,461,28116
TX,426,36727
KS,112,45920
FL,1071,34348
GA,957,31189
MI,1860,45129
NV,248,59472
MO,2100,38580
WV,368,35955
FL,5204,64876
PA,8862,44402
MO,1480,38710
MT,62,45932
FL,471,38501
MS,592,26336
IN,1122,42898
GA,233,42192
MD,4780,80622
IA,802,62535
OR,493,38795
NE,2731,48712
GA,624,49754
WI,5555,53119
UT,329,45888
TN,139,35271
NM,84,39826
OK,771,42751
WV,96,33779
MI,89,39469
ID,104,39049
MI,1006,41136
FL,812,37125
OK,829,42824
KS,647,49543
GA,4532,52691
OK,1546,48687
PA,315,51482
TX,4165,44545
IL,836,37040
GA,707,37333
KS,55,39333
OK,2258,44530
ID,1818,43886
OK,294,30201
OR,3143,37733
WA,2510,46033
OR,1124,35578
WY,251,43257
GA,141,27455
KS,724,39746
PA,859,43764
FL,2747,35560
GA,278,26634
WV,2341,44173
TX,965,40769
WV,1363,33771
MT,2743,46581
OK,175,37319
WA,8866,62413
MO,2115,37238
WV,408,45413
OK,618,51867
TX,3120,65839
NM,1388,39263
IL,382,42914
TX,9925,61877
WA,2751,48755
VA,268,44885
IN,2585,43590
NJ,1712,59718
OK,1186,44195
OK,919,36473
NJ,4673,56494
MS,440,36022
MO,1530,41964
WV,1110,36964
IN,1105,62351
MI,4308,53972
MO,445,28645
GA,18660,63920
GA,3308,40471
PA,1520,48900
MO,261,31539
TX,1084,72489
GA,670,35792
MI,1177,42676
KS,186,45519
FL,3631,49846
WV,190,37327
TX,113,65750
IN,4126,37474
OK,989,35742
GA,539,43775
MO,1428,47964
TX,1180,24927
SD,197,41332
IN,4451,43120
OK,1149,36542
WV,1692,43183
IA,405,43010
SD,31,37607
NM,2816,58017
MI,829,40965
ID,282,38440
TN,194,33198
OK,762,38245
MN,678,50695
PA,10583,54923
IN,5237,40052
KS,57,36815
MI,3756,48066
NE,57,45464
KY,2388,38904
TX,17907,33179
MD,3498,55609
IN,1157,48953
MT,1373,38659
FL,194,42660
MO,397,38443
FL,2205,47233
IL,641,47133
TN,441,42383
MD,4639,84570
HI,6487,63512
GA,228,35070
MI,532,40140
PA,763,46513
KS,712,47894
TX,4086,46429
PA,2455,42992
WA,2193,55177
NM,589,43014
MS,1809,37868
TX,4131,57535
MO,2174,42268
UT,761,62067
MS,83,32372
MT,170,38344
TN,379,33033
VA,5159,50705
WV,684,42152
TN,522,29192
SD,335,38173
GA,193,39909
PA,746,43290
MN,400,47068
MI,1118,42571
TN,617,28401
MI,501,34619
PA,9825,58745
TN,1595,42223
MT,247,42426
KS,73,33839
TN,328,41875
WI,5800,54090
PA,8082,45202
KS,322,50205
SD,661,47214
WY,374,55347
TX,12619,85297
MO,671,52698
IL,249,53136
GA,569,33652
WV,891,40681
WY,557,53951
TX,921,42476
MS,1308,27381
IL,297,46216
OK,1628,41252
GA,398,34848
TX,787,46107
GA,202,36722
MO,1438,42046
OK,188,35334
OK,1655,55723
MI,489,38704
NV,1243,51957
FL,6376,55843
MO,151,42566
TX,561,51181
IN,2007,46501
MN,6610,46517
KS,432,40554
NH,10142,69829
FL,298,35511
WI,118,47960
MA,3569,61227
IA,3254,53424
WV,3245,53515
SD,1195,74751
MN,2332,49935
MO,290,38250
MS,1193,34841
KS,418,56854
OK,233,44375
FL,3913,44378
KS,68,52415
IL,256,52741
TN,1702,37357
MN,1899,43231
MI,475,37788
ID,387,42842
NV,10,30284
TX,1082,41670
KS,1701,43962
IL,75,39075
TX,408,44502
IA,114,52152
TN,485,39581
WI,5177,49435
UT,1848,61412
TN,636,35049
SD,616,52578
SD,501,42196
IN,1072,42627
WY,408,63918
HI,31991,72764
KS,656,42071
MI,420,41551
WY,2959,55864
FL,361,49236
MT,3329,44963
