total_violent_crime,household_income,"County,State"
1407,46217,"Shiawassee,MI"
3756,48066,"St. Clair,MI"
1358,44051,"St. Joseph,MI"
911,43039,"Tuscola,MI"
1860,45129,"Van Buren,MI"
9647,59055,"Washtenaw,MI"
89515,41184,"Wayne,MI"
829,40965,"Wexford,MI"
478,41617,"Aitkin,MN"
9812,70380,"Anoka,MN"
341,50214,"Becker,MN"
1899,43231,"Beltrami,MN"
664,52200,"Benton,MN"
54,46313,"Big Stone,MN"
2332,49935,"Blue Earth,MN"
259,48256,"Brown,MN"
939,53016,"Carlton,MN"
1155,83773,"Carver,MN"
1167,45045,"Cass,MN"
160,49434,"Chippewa,MN"
662,67157,"Chisago,MN"
1245,52410,"Clay,MN"
104,43269,"Clearwater,MN"
175,52215,"Cook,MN"
154,45294,"Cottonwood,MN"
1881,47058,"Crow Wing,MN"
9746,73732,"Dakota,MN"
314,69301,"Dodge,MN"
563,50905,"Douglas,MN"
192,44264,"Faribault,MN"
133,50657,"Fillmore,MN"
682,44683,"Freeborn,MN"
1164,56836,"Goodhue,MN"
102,50030,"Grant,MN"
44720,64403,"Hennepin,MN"
152,52545,"Houston,MN"
477,45961,"Hubbard,MN"
610,57353,"Isanti,MN"
948,46912,"Itasca,MN"
107,51681,"Jackson,MN"
400,47068,"Kanabec,MN"
1015,50149,"Kandiyohi,MN"
24,48875,"Kittson,MN"
313,41108,"Koochiching,MN"
63,46939,"Lake,MN"
310,58922,"Le Sueur,MN"
26,47861,"Lincoln,MN"
486,49594,"Lyon,MN"
131,40282,"Mahnomen,MN"
14,52198,"Marshall,MN"
336,48530,"Martin,MN"
431,53904,"Meeker,MN"
919,47862,"Mille Lacs,MN"
410,47649,"Morrison,MN"
1001,46004,"Mower,MN"
50,52160,"Murray,MN"
603,60115,"Nicollet,MN"
255,48208,"Nobles,MN"
0,45389,"Norman,MN"
3378,66252,"Olmsted,MN"
987,48961,"Otter Tail,MN"
316,45633,"Pennington,MN"
1109,43928,"Pine,MN"
68,46019,"Pipestone,MN"
678,50695,"Polk,MN"
96,52350,"Pope,MN"
22167,54247,"Ramsey,MN"
2,47569,"Red Lake,MN"
253,47447,"Redwood,MN"
127,50802,"Renville,MN"
1427,59915,"Rice,MN"
149,46623,"Rock,MN"
140,50759,"Roseau,MN"
2674,86112,"Scott,MN"
1597,73098,"Sherburne,MN"
0,54017,"Sibley,MN"
6610,46517,"St. Louis,MN"
3884,54551,"Stearns,MN"
769,56480,"Steele,MN"
189,54206,"Stevens,MN"
173,48026,"Swift,MN"
390,45000,"Todd,MN"
41,45714,"Traverse,MN"
205,53057,"Wabasha,MN"
121,36928,"Wadena,MN"
332,53657,"Waseca,MN"
6063,81540,"Washington,MN"
161,49698,"Watonwan,MN"
121,50507,"Wilkin,MN"
764,47468,"Winona,MN"
2422,71598,"Wright,MN"
52,52510,"Yellow Medicine,MN"
761,34733,"Adair,MO"
169,54336,"Andrew,MO"
59,44426,"Atchison,MO"
534,43013,"Audrain,MO"
1480,38710,"Barry,MO"
324,40580,"Barton,MO"
545,38579,"Bates,MO"
609,32951,"Benton,MO"
142,37716,"Bollinger,MO"
6197,48627,"Boone,MO"
5394,44363,"Buchanan,MO"
2298,34969,"Butler,MO"
218,41169,"Caldwell,MO"
1428,47964,"Callaway,MO"
1047,43458,"Camden,MO"
3626,46516,"Cape Girardeau,MO"
138,46002,"Carroll,MO"
51,30962,"Carter,MO"
2385,60350,"Cass,MO"
391,30302,"Cedar,MO"
108,39385,"Chariton,MO"
1527,52838,"Christian,MO"
50,40204,"Clark,MO"
3062,60936,"Clay,MO"
527,53826,"Clinton,MO"
2251,53931,"Cole,MO"
484,45992,"Cooper,MO"
544,35897,"Crawford,MO"
83,35483,"Dade,MO"
414,40120,"Dallas,MO"
103,42393,"Daviess,MO"
327,36311,"Dent,MO"
250,32130,"Douglas,MO"
1422,31304,"Dunklin,MO"
2783,48857,"Franklin,MO"
304,41392,"Gasconade,MO"
46,39192,"Gentry,MO"
18964,40337,"Greene,MO"
261,37964,"Grundy,MO"
118,37739,"Harrison,MO"
886,39839,"Henry,MO"
138,29325,"Hickory,MO"
104,42979,"Holt,MO"
78,42747,"Howard,MO"
1585,32533,"Howell,MO"
162,36387,"Iron,MO"
47941,47015,"Jackson,MO"
6093,40399,"Jasper,MO"
4827,54845,"Jefferson,MO"
1467,47223,"Johnson,MO"
43,34481,"Knox,MO"
1143,39013,"Laclede,MO"
706,50527,"Lafayette,MO"
1416,39334,"Lawrence,MO"
133,42071,"Lewis,MO"
855,52835,"Lincoln,MO"
290,38250,"Linn,MO"
378,40116,"Livingston,MO"
397,38443,"Macon,MO"
236,35870,"Madison,MO"
151,42566,"Maries,MO"
1438,42046,"Marion,MO"
21,40272,"Mercer,MO"
664,35507,"Miller,MO"
534,29787,"Mississippi,MO"
234,47118,"Moniteau,MO"
100,40657,"Monroe,MO"
206,40236,"Montgomery,MO"
535,34797,"Morgan,MO"
213,35793,"New Madrid,MO"
2174,42268,"Newton,MO"
411,36641,"Nodaway,MO"
154,27743,"Oregon,MO"
149,51408,"Osage,MO"
170,32078,"Ozark,MO"
858,28889,"Pemiscot,MO"
300,47876,"Perry,MO"
2100,38580,"Pettis,MO"
1530,41964,"Phelps,MO"
326,39850,"Pike,MO"
984,67721,"Platte,MO"
896,39512,"Polk,MO"
1358,49820,"Pulaski,MO"
35,36713,"Putnam,MO"
215,47969,"Ralls,MO"
755,37203,"Randolph,MO"
671,52698,"Ray,MO"
111,34496,"Reynolds,MO"
520,32291,"Ripley,MO"
504,39519,"Saline,MO"
30,34688,"Schuyler,MO"
86,39028,"Scotland,MO"
1742,40651,"Scott,MO"
163,31132,"Shannon,MO"
49,35938,"Shelby,MO"
7327,71077,"St. Charles,MO"
261,31539,"St. Clair,MO"
2115,37238,"St. Francois,MO"
29934,58910,"St. Louis,MO"
28499,34582,"St. Louis City,MO"
293,48433,"Ste. Genevieve,MO"
725,37965,"Stoddard,MO"
730,40850,"Stone,MO"
90,36676,"Sullivan,MO"
2299,38461,"Taney,MO"
613,36082,"Texas,MO"
1275,38679,"Vernon,MO"
917,50830,"Warren,MO"
632,34702,"Washington,MO"
150,33159,"Wayne,MO"
822,44596,"Webster,MO"
42,39348,"Worth,MO"
445,28645,"Wright,MO"
1308,27381,"Adams,MS"
0,33600,"Alcorn,MS"
10,30750,"Amite,MS"
155,31641,"Attala,MS"
0,31060,"Benton,MS"
933,28599,"Bolivar,MS"
0,30000,"Calhoun,MS"
0,31039,"Carroll,MS"
80,31061,"Chickasaw,MS"
78,29876,"Choctaw,MS"
278,23689,"Claiborne,MS"
0,31362,"Clarke,MS"
483,30764,"Clay,MS"
952,26407,"Coahoma,MS"
140,35421,"Copiah,MS"
51,33381,"Covington,MS"
2808,36726,"Forrest,MS"
83,32372,"Franklin,MS"
163,43958,"George,MS"
30,36888,"Greene,MS"
763,34129,"Grenada,MS"
413,44522,"Hancock,MS"
8224,43124,"Harrison,MS"
15151,37626,"Hinds,MS"
34,22325,"Holmes,MS"
14,23600,"Humphreys,MS"
0,24767,"Issaquena,MS"
342,36073,"Itawamba,MS"
5318,48943,"Jackson,MS"
12,31170,"Jasper,MS"
65,26028,"Jefferson,MS"
349,27186,"Jefferson Davis,MS"
1971,38074,"Jones,MS"
49,29003,"Kemper,MS"
502,43328,"Lafayette,MS"
1062,51154,"Lamar,MS"
3037,36203,"Lauderdale,MS"
0,38393,"Lawrence,MS"
60,32521,"Leake,MS"
868,42074,"Lee,MS"
1753,24480,"Leflore,MS"
608,36498,"Lincoln,MS"
1809,37868,"Lowndes,MS"
1456,59904,"Madison,MS"
638,29400,"Marion,MS"
440,36022,"Marshall,MS"
507,36308,"Monroe,MS"
44,30466,"Montgomery,MS"
371,37050,"Neshoba,MS"
5,39190,"Newton,MS"
96,24338,"Noxubee,MS"
1560,30987,"Oktibbeha,MS"
1793,35715,"Panola,MS"
543,42510,"Pearl River,MS"
27,36124,"Perry,MS"
1193,34841,"Pike,MS"
477,39899,"Pontotoc,MS"
60,32503,"Prentiss,MS"
0,22863,"Quitman,MS"
2157,57380,"Rankin,MS"
445,34534,"Scott,MS"
0,35125,"Sharkey,MS"
395,38362,"Simpson,MS"
0,34753,"Smith,MS"
134,42963,"Stone,MS"
935,26619,"Sunflower,MS"
81,29853,"Tallahatchie,MS"
594,41494,"Tate,MS"
116,34636,"Tippah,MS"
124,32592,"Tishomingo,MS"
541,31446,"Tunica,MS"
278,38373,"Union,MS"
220,31090,"Walthall,MS"
1852,41025,"Warren,MS"
3313,28093,"Washington,MS"
0,29925,"Wayne,MS"
41,33524,"Webster,MS"
0,33618,"Wilkinson,MS"
133,30821,"Winston,MS"
0,32930,"Yalobusha,MS"
592,26336,"Yazoo,MS"
85,41614,"Beaverhead,MT"
135,39966,"Big Horn,MT"
46,37151,"Blaine,MT"
62,45932,"Broadwater,MT"
155,47831,"Carbon,MT"
2,39659,"Carter,MT"
3329,44963,"Cascade,MT"
28,40070,"Chouteau,MT"
264,43524,"Custer,MT"
7,46100,"Daniels,MT"
316,50405,"Dawson,MT"
211,38958,"Deer Lodge,MT"
25,51164,"Fallon,MT"
170,38344,"Fergus,MT"
2743,46581,"Flathead,MT"
2421,52833,"Gallatin,MT"
1,45096,"Garfield,MT"
219,33519,"Glacier,MT"
5,39313,"Golden Valley,MT"
52,45236,"Granite,MT"
693,43726,"Hill,MT"
116,60863,"Jefferson,MT"
7,41932,"Judith Basin,MT"
845,38019,"Lake,MT"
0,44493,"Liberty,MT"
295,33333,"Lincoln,MT"
67,47762,"Madison,MT"
25,38182,"Meagher,MT"
6,33033,"Mineral,MT"
3987,46117,"Missoula,MT"
109,43409,"Musselshell,MT"
247,42426,"Park,MT"
0,41705,"Petroleum,MT"
84,42632,"Phillips,MT"
50,41277,"Pondera,MT"
0,46250,"Powder River,MT"
75,40802,"Powell,MT"
8,38036,"Prairie,MT"
701,38688,"Ravalli,MT"
262,58112,"Richland,MT"
315,36920,"Roosevelt,MT"
56,48789,"Rosebud,MT"
152,32881,"Sanders,MT"
85,48667,"Sheridan,MT"
1373,38659,"Silver Bow,MT"
153,57906,"Stillwater,MT"
55,45938,"Sweet Grass,MT"
59,43327,"Teton,MT"
100,46972,"Toole,MT"
0,37105,"Treasure,MT"
78,47181,"Valley,MT"
9,31867,"Wheatland,MT"
3,41875,"Wibaux,MT"
6108,51342,"Yellowstone,MT"
1110,49440,"Adams,NE"
18,43518,"Antelope,NE"
0,40568,"Arthur,NE"
1,36875,"Banner,NE"
0,42917,"Blaine,NE"
0,45246,"Boone,NE"
5,46373,"Box Butte,NE"
0,41279,"Boyd,NE"
39,33647,"Brown,NE"
1145,50963,"Buffalo,NE"
39,46817,"Burt,NE"
51,50247,"Butler,NE"
518,64697,"Cass,NE"
38,48038,"Cedar,NE"
39,45610,"Chase,NE"
57,45464,"Cherry,NE"
112,51529,"Cheyenne,NE"
0,46784,"Clay,NE"
0,51765,"Colfax,NE"
26,47500,"Cuming,NE"
118,44873,"Custer,NE"
423,47069,"Dakota,NE"
189,40359,"Dawes,NE"
524,46078,"Dawson,NE"
27,44922,"Deuel,NE"
98,47325,"Dixon,NE"
910,48626,"Dodge,NE"
23399,53325,"Douglas,NE"
0,47431,"Dundy,NE"
1,48464,"Fillmore,NE"
18,43011,"Franklin,NE"
0,50227,"Frontier,NE"
3,39603,"Furnas,NE"
641,47654,"Gage,NE"
1,39400,"Garden,NE"
0,41892,"Garfield,NE"
33,45893,"Gosper,NE"
0,44167,"Grant,NE"
0,44950,"Greeley,NE"
2731,48712,"Hall,NE"
144,56065,"Hamilton,NE"
0,45920,"Harlan,NE"
0,49125,"Hayes,NE"
25,39702,"Hitchcock,NE"
47,44427,"Holt,NE"
0,39327,"Hooker,NE"
0,49088,"Howard,NE"
48,44843,"Jefferson,NE"
26,42364,"Johnson,NE"
198,56466,"Kearney,NE"
146,41970,"Keith,NE"
0,36923,"Keya Paha,NE"
29,42180,"Kimball,NE"
32,42230,"Knox,NE"
11911,51574,"Lancaster,NE"
1331,48158,"Lincoln,NE"
0,44417,"Logan,NE"
0,38125,"Loup,NE"
930,46566,"Madison,NE"
60,50859,"Merrick,NE"
58,43886,"Morrill,NE"
29,44286,"Nance,NE"
45,42672,"Nemaha,NE"
24,37594,"Nuckolls,NE"
271,50881,"Otoe,NE"
24,37321,"Pawnee,NE"
13,58625,"Perkins,NE"
172,50000,"Phelps,NE"
37,51924,"Pierce,NE"
657,51213,"Platte,NE"
42,52848,"Polk,NE"
289,42345,"Red Willow,NE"
50,38582,"Richardson,NE"
9,43500,"Rock,NE"
302,44109,"Saline,NE"
2693,69965,"Sarpy,NE"
216,59870,"Saunders,NE"
863,43444,"Scotts Bluff,NE"
153,59435,"Seward,NE"
109,38548,"Sheridan,NE"
24,41835,"Sherman,NE"
0,42014,"Sioux,NE"
66,51493,"Stanton,NE"
84,44422,"Thayer,NE"
0,55089,"Thomas,NE"
1,41400,"Thurston,NE"
0,40445,"Valley,NE"
133,65409,"Washington,NE"
27,52147,"Wayne,NE"
35,41045,"Webster,NE"
2,38807,"Wheeler,NE"
273,49633,"York,NE"
2034,58654,"Belknap,NH"
1201,50866,"Carroll,NH"
1462,55155,"Cheshire,NH"
544,41985,"Coos,NH"
1829,54912,"Grafton,NH"
10142,69829,"Hillsborough,NH"
2988,65353,"Merrimack,NH"
6204,77348,"Rockingham,NH"
3456,58825,"Strafford,NH"
983,54463,"Sullivan,NH"
9724,54235,"Atlantic,NJ"
12280,83794,"Bergen,NJ"
8807,78446,"Burlington,NJ"
20002,61683,"Camden,NJ"
4673,56494,"Cape May,NJ"
7664,50750,"Cumberland,NJ"
26821,55095,"Essex,NJ"
8105,74524,"Gloucester,NJ"
15256,58442,"Hudson,NJ"
1151,106143,"Hunterdon,NJ"
9904,73480,"Mercer,NJ"
15271,79596,"Middlesex,NJ"
13263,84526,"Monmouth,NJ"
5555,98633,"Morris,NJ"
11914,61136,"Ocean,NJ"
13539,57654,"Passaic,NJ"
1712,59718,"Salem,NJ"
4719,99020,"Somerset,NJ"
1894,87335,"Sussex,NJ"
13470,68507,"Union,NJ"
1762,70912,"Warren,NJ"
38032,48801,"Bernalillo,NM"
84,39826,"Catron,NM"
3383,39131,"Chaves,NM"
681,37237,"Cibola,NM"
359,37734,"Colfax,NM"
2610,39871,"Curry,NM"
25,37660,"De Baca,NM"
2679,49165,"Eddy,NM"
869,37899,"Grant,NM"
127,29071,"Guadalupe,NM"
0,34063,"Harding,NM"
52,34080,"Hidalgo,NM"
2859,50694,"Lea,NM"
589,43014,"Lincoln,NM"
270,106686,"Los Alamos,NM"
1003,29282,"Luna,NM"
0,28481,"Mora,NM"
1388,39263,"Otero,NM"
306,30802,"Quay,NM"
1065,40250,"Rio Arriba,NM"
689,38764,"Roosevelt,NM"
4121,48196,"San Juan,NM"
592,28275,"San Miguel,NM"
2816,58017,"Sandoval,NM"
5963,52917,"Santa Fe,NM"
336,27430,"Sierra,NM"
659,34036,"Socorro,NM"
576,32637,"Taos,NM"
368,31161,"Torrance,NM"
152,38902,"Union,NM"
2341,42506,"Valencia,NM"
1243,51957,"Carson City,NV"
623,49830,"Churchill,NV"
73306,52873,"Clark,NV"
888,60100,"Douglas,NV"
1446,70238,"Elko,NV"
10,30284,"Esmeralda,NV"
35,64632,"Eureka,NV"
248,59472,"Humboldt,NV"
147,72742,"Lander,NV"
73,40143,"Lincoln,NV"
1287,46137,"Lyon,NV"
67,35017,"Mineral,NV"
1415,39876,"Nye,NV"
154,52101,"Pershing,NV"
136,61573,"Storey,NV"
13016,53040,"Washoe,NV"
170,48586,"White Pine,NV"
409,32556,"Adair,OK"
52,44811,"Alfalfa,OK"
269,37012,"Atoka,OK"
90,51422,"Beaver,OK"
531,48989,"Beckham,OK"
212,44206,"Blaine,OK"
1540,38897,"Bryan,OK"
621,39267,"Caddo,OK"
5204,63629,"Canadian,OK"
2360,41401,"Carter,OK"
1077,37260,"Cherokee,OK"
294,30201,"Choctaw,OK"
3,38301,"Cimarron,OK"
11190,54989,"Cleveland,OK"
85,34867,"Coal,OK"
6648,46036,"Comanche,OK"
31,46317,"Cotton,OK"
220,39236,"Craig,OK"
1384,43026,"Creek,OK"
596,44972,"Custer,OK"
731,36588,"Delaware,OK"
58,46488,"Dewey,OK"
45,47344,"Ellis,OK"
2258,44530,"Garfield,OK"
762,38245,"Garvin,OK"
1579,49637,"Grady,OK"
56,46625,"Grant,OK"
49,39900,"Greer,OK"
102,26688,"Harmon,OK"
26,46117,"Harper,OK"
188,35334,"Haskell,OK"
188,34619,"Hughes,OK"
829,42824,"Jackson,OK"
54,34701,"Jefferson,OK"
85,36192,"Johnston,OK"
1720,41012,"Kay,OK"
181,54666,"Kingfisher,OK"
273,36281,"Kiowa,OK"
107,40970,"Latimer,OK"
1149,36542,"Le Flore,OK"
779,42668,"Lincoln,OK"
813,53591,"Logan,OK"
136,43260,"Love,OK"
181,49905,"Major,OK"
175,37319,"Marshall,OK"
771,42751,"Mayes,OK"
256,44151,"Murray,OK"
3038,38502,"Muskogee,OK"
208,44842,"Noble,OK"
193,39430,"Nowata,OK"
387,35170,"Okfuskee,OK"
42912,45215,"Oklahoma,OK"
1058,39156,"Okmulgee,OK"
1186,44195,"Osage,OK"
919,36473,"Ottawa,OK"
233,44375,"Pawnee,OK"
2460,36812,"Payne,OK"
1628,41252,"Pittsburg,OK"
1304,41881,"Pontotoc,OK"
2884,42764,"Pottawatomie,OK"
227,29897,"Pushmataha,OK"
46,53885,"Roger Mills,OK"
1339,58525,"Rogers,OK"
852,33819,"Seminole,OK"
989,35742,"Sequoyah,OK"
1671,43885,"Stephens,OK"
454,49901,"Texas,OK"
212,36354,"Tillman,OK"
30314,48181,"Tulsa,OK"
1655,55723,"Wagoner,OK"
1546,48687,"Washington,OK"
178,46686,"Washita,OK"
114,51619,"Woods,OK"
618,51867,"Woodward,OK"
77,41500,"Baker,OR"
1956,48604,"Benton,OR"
9834,64352,"Clackamas,OR"
828,44683,"Clatsop,OR"
919,54968,"Columbia,OR"
2151,37940,"Coos,OR"
493,38795,"Crook,OR"
422,39516,"Curry,OR"
5064,50209,"Deschutes,OR"
3367,40524,"Douglas,OR"
18,44743,"Gilliam,OR"
56,35051,"Grant,OR"
185,38113,"Harney,OR"
210,56725,"Hood River,OR"
8569,44005,"Jackson,OR"
546,43373,"Jefferson,OR"
3143,37733,"Josephine,OR"
1576,39627,"Klamath,OR"
47,33611,"Lake,OR"
14505,42931,"Lane,OR"
1537,42365,"Lincoln,OR"
3899,46939,"Linn,OR"
1124,35578,"Malheur,OR"
11515,46885,"Marion,OR"
282,49940,"Morrow,OR"
41623,52511,"Multnomah,OR"
2336,52808,"Polk,OR"
44,42639,"Sherman,OR"
555,43676,"Tillamook,OR"
2740,48389,"Umatilla,OR"
789,42542,"Union,OR"
54,41994,"Wallowa,OR"
872,43765,"Wasco,OR"
11344,64180,"Washington,OR"
3,37974,"Wheeler,OR"
2251,54535,"Yamhill,OR"
1343,59492,"Adams,PA"
31505,51366,"Allegheny,PA"
703,45241,"Armstrong,PA"
4366,49217,"Beaver,PA"
746,43290,"Bedford,PA"
10734,55170,"Berks,PA"
2455,42992,"Blair,PA"
1325,46963,"Bradford,PA"
13035,76555,"Bucks,PA"
2580,58230,"Butler,PA"
2873,41730,"Cambria,PA"
110,41410,"Cameron,PA"
1520,48900,"Carbon,PA"
2375,50336,"Centre,PA"
8518,86050,"Chester,PA"
713,42389,"Clarion,PA"
2088,41030,"Clearfield,PA"
775,42184,"Clinton,PA"
1611,44807,"Columbia,PA"
1516,42504,"Crawford,PA"
4057,60826,"Cumberland,PA"
8704,54066,"Dauphin,PA"
15615,64041,"Delaware,PA"
702,45767,"Elk,PA"
8082,45202,"Erie,PA"
3564,39115,"Fayette,PA"
194,36556,"Forest,PA"
2729,52637,"Franklin,PA"
212,48461,"Fulton,PA"
862,44388,"Greene,PA"
625,44183,"Huntingdon,PA"
1653,43997,"Indiana,PA"
548,41262,"Jefferson,PA"
238,46163,"Juniata,PA"
5105,46044,"Lackawanna,PA"
11233,56483,"Lancaster,PA"
2576,43546,"Lawrence,PA"
2841,54818,"Lebanon,PA"
10583,54923,"Lehigh,PA"
8862,44402,"Luzerne,PA"
2755,45430,"Lycoming,PA"
2927,44301,"Mercer,PA"
1071,40384,"Mifflin,PA"
5171,57408,"Monroe,PA"
16433,79183,"Montgomery,PA"
315,51482,"Montour,PA"
6343,60097,"Northampton,PA"
1645,41208,"Northumberland,PA"
789,57375,"Perry,PA"
74866,37192,"Philadelphia,PA"
1153,59340,"Pike,PA"
215,41547,"Potter,PA"
2627,45012,"Schuylkill,PA"
763,46513,"Snyder,PA"
913,43597,"Somerset,PA"
117,40964,"Sullivan,PA"
568,48231,"Susquehanna,PA"
663,44187,"Tioga,PA"
524,48528,"Union,PA"
881,41977,"Venango,PA"
859,43764,"Warren,PA"
4063,53693,"Washington,PA"
939,49313,"Wayne,PA"
5912,50736,"Westmoreland,PA"
428,48482,"Wyoming,PA"
9825,58745,"York,PA"
772,71238,"Bristol,RI"
3927,62279,"Kent,RI"
2226,71713,"Newport,RI"
20819,49297,"Providence,RI"
2128,72138,"Washington,RI"
878,35947,"Abbeville,SC"
7083,44509,"Aiken,SC"
381,25252,"Allendale,SC"
10825,41579,"Anderson,SC"
797,31483,"Bamberg,SC"
1335,35231,"Barnwell,SC"
5988,57316,"Beaufort,SC"
6802,52427,"Berkeley,SC"
613,40704,"Calhoun,SC"
13122,50792,"Charleston,SC"
1197,34202,"Cherokee,SC"
1513,33103,"Chester,SC"
1895,31252,"Chesterfield,SC"
1538,31410,"Clarendon,SC"
2066,33233,"Colleton,SC"
4384,36323,"Darlington,SC"
2282,28817,"Dillon,SC"
5231,53857,"Dorchester,SC"
575,43861,"Edgefield,SC"
1047,36120,"Fairfield,SC"
6676,41910,"Florence,SC"
2656,40131,"Georgetown,SC"
19207,49022,"Greenville,SC"
4458,36540,"Greenwood,SC"
710,34233,"Hampton,SC"
16165,42431,"Horry,SC"
895,36413,"Jasper,SC"
2481,43765,"Kershaw,SC"
3573,42217,"Lancaster,SC"
2946,37383,"Laurens,SC"
974,27373,"Lee,SC"
8600,54061,"Lexington,SC"
2237,29149,"Marion,SC"
1905,28297,"Marlboro,SC"
1242,41718,"Newberry,SC"
2674,41394,"Oconee,SC"
4951,34110,"Orangeburg,SC"
5161,41788,"Pickens,SC"
23253,48359,"Richland,SC"
529,38514,"Saluda,SC"
10965,42919,"Spartanburg,SC"
5554,41366,"Sumter,SC"
1244,32556,"Union,SC"
1557,25849,"Williamsburg,SC"
7097,53740,"York,SC"
17,46667,"Aurora,SD"
501,42196,"Beadle,SD"
31,37607,"Bennett,SD"
2,40980,"Bon Homme,SD"
160,46896,"Brookings,SD"
615,51398,"Brown,SD"
111,45284,"Brule,SD"
0,30962,"Buffalo,SD"
197,41332,"Butte,SD"
9,35729,"Campbell,SD"
88,40102,"Charles Mix,SD"
12,49055,"Clark,SD"
335,38173,"Clay,SD"
661,47214,"Codington,SD"
25,30880,"Corson,SD"
38,50074,"Custer,SD"
511,48341,"Davison,SD"
0,39761,"Day,SD"
36,51632,"Deuel,SD"
9,30710,"Dewey,SD"
0,49200,"Douglas,SD"
1,49831,"Edmunds,SD"
31,37667,"Fall River,SD"
3,41453,"Faulk,SD"
0,48896,"Grant,SD"
0,36719,"Gregory,SD"
0,47198,"Haakon,SD"
52,55563,"Hamlin,SD"
19,47679,"Hand,SD"
5,55815,"Hanson,SD"
1,44353,"Harding,SD"
599,59338,"Hughes,SD"
22,42451,"Hutchinson,SD"
0,47813,"Hyde,SD"
11,46224,"Jackson,SD"
5,46591,"Jerauld,SD"
0,44808,"Jones,SD"
0,51373,"Kingsbury,SD"
97,48936,"Lake,SD"
699,43273,"Lawrence,SD"
1195,74751,"Lincoln,SD"
0,47596,"Lyman,SD"
55,46597,"Marshall,SD"
269,49324,"Meade,SD"
19,35109,"Mellette,SD"
9,48477,"Miner,SD"
5375,52345,"Minnehaha,SD"
100,51791,"Moody,SD"
4659,50833,"Pennington,SD"
11,38362,"Perkins,SD"
3,44556,"Potter,SD"
114,47191,"Roberts,SD"
0,48384,"Sanborn,SD"
55,48911,"Spink,SD"
38,54620,"Stanley,SD"
1,54524,"Sully,SD"
0,31934,"Todd,SD"
31,39324,"Tripp,SD"
57,51925,"Turner,SD"
116,63468,"Union,SD"
93,41826,"Walworth,SD"
616,52578,"Yankton,SD"
9,32708,"Ziebach,SD"
2640,43620,"Anderson,TN"
1105,40759,"Bedford,TN"
379,33033,"Benton,TN"
117,33443,"Bledsoe,TN"
3653,45991,"Blount,TN"
3869,41083,"Bradley,TN"
1816,31943,"Campbell,TN"
224,40689,"Cannon,TN"
636,35049,"Carroll,TN"
1614,31842,"Carter,TN"
1024,52446,"Cheatham,TN"
328,41875,"Chester,TN"
1030,33229,"Claiborne,TN"
112,29727,"Clay,TN"
1842,30573,"Cocke,TN"
1857,37618,"Coffee,TN"
362,36066,"Crockett,TN"
2226,37188,"Cumberland,TN"
35205,47335,"Davidson,TN"
342,36258,"Decatur,TN"
1571,44318,"Dickson,TN"
1787,38953,"Dyer,TN"
526,56618,"Fayette,TN"
522,29192,"Fentress,TN"
949,42904,"Franklin,TN"
1492,38343,"Gibson,TN"
783,38495,"Giles,TN"
512,32364,"Grainger,TN"
2444,35545,"Greene,TN"
522,26814,"Grundy,TN"
2745,39596,"Hamblen,TN"
17087,46702,"Hamilton,TN"
207,23892,"Hancock,TN"
811,30973,"Hardeman,TN"
1049,33622,"Hardin,TN"
1702,37357,"Hawkins,TN"
801,34542,"Haywood,TN"
972,38280,"Henderson,TN"
1108,36950,"Henry,TN"
485,39581,"Hickman,TN"
139,35271,"Houston,TN"
354,42846,"Humphreys,TN"
269,33386,"Jackson,TN"
1587,39745,"Jefferson,TN"
394,29609,"Johnson,TN"
20679,47694,"Knox,TN"
117,27115,"Lake,TN"
1111,32326,"Lauderdale,TN"
1428,37368,"Lawrence,TN"
345,34397,"Lewis,TN"
957,41571,"Lincoln,TN"
1251,51074,"Loudon,TN"
299,35306,"Macon,TN"
5235,41617,"Madison,TN"
631,41268,"Marion,TN"
599,42291,"Marshall,TN"
2712,45336,"Maury,TN"
334,35150,"Meigs,TN"
1527,37595,"Monroe,TN"
5683,49617,"Montgomery,TN"
93,46170,"Moore,TN"
543,37631,"Morgan,TN"
1202,39467,"Obion,TN"
369,34604,"Overton,TN"
131,32845,"Perry,TN"
68,35184,"Pickett,TN"
416,39074,"Polk,TN"
3241,33709,"Putnam,TN"
878,36741,"Rhea,TN"
1595,42223,"Roane,TN"
1679,52792,"Robertson,TN"
8514,55401,"Rutherford,TN"
617,28401,"Scott,TN"
504,36434,"Sequatchie,TN"
4419,43649,"Sevier,TN"
60653,46250,"Shelby,TN"
441,42383,"Smith,TN"
213,39781,"Stewart,TN"
6448,39479,"Sullivan,TN"
3637,55509,"Sumner,TN"
1619,52423,"Tipton,TN"
187,43034,"Trousdale,TN"
440,32292,"Unicoi,TN"
762,34399,"Union,TN"
122,33547,"Van Buren,TN"
1212,34641,"Warren,TN"
4635,42075,"Washington,TN"
194,33198,"Wayne,TN"
896,35273,"Weakley,TN"
853,34474,"White,TN"
2578,89779,"Williamson,TN"
2983,60390,"Wilson,TN"
1591,40653,"Anderson,TX"
446,57825,"Andrews,TX"
3465,41354,"Angelina,TX"
921,42476,"Aransas,TX"
108,56452,"Archer,TX"
29,61635,"Armstrong,TX"
1336,47543,"Atascosa,TX"
548,53265,"Austin,TX"
199,46139,"Bailey,TX"
145,49215,"Bandera,TX"
2071,51750,"Bastrop,TX"
58,33445,"Baylor,TX"
439,43690,"Bee,TX"
