total_violent_crime,household_income,"County,State"
210,36570,"Towns,GA"
80,37894,"Treutlen,GA"
2985,41161,"Troup,GA"
277,28326,"Turner,GA"
180,31234,"Twiggs,GA"
315,40009,"Union,GA"
955,35329,"Upson,GA"
2080,39963,"Walker,GA"
2960,52369,"Walton,GA"
1794,34572,"Ware,GA"
130,27796,"Warren,GA"
569,33652,"Washington,GA"
1832,35830,"Wayne,GA"
43,35718,"Webster,GA"
103,24382,"Wheeler,GA"
718,40670,"White,GA"
3308,40471,"Whitfield,GA"
140,32928,"Wilcox,GA"
234,28983,"Wilkes,GA"
163,36173,"Wilkinson,GA"
670,35792,"Worth,GA"
5818,51250,"Hawaii,HI"
31991,72764,"Honolulu,HI"
0,59375,"Kalawao,HI"
2813,62052,"Kauai,HI"
6487,63512,"Maui,HI"
78,47892,"Adair,IA"
64,45871,"Adams,IA"
141,48831,"Allamakee,IA"
435,39208,"Appanoose,IA"
27,48313,"Audubon,IA"
290,56669,"Benton,IA"
4217,45747,"Black Hawk,IA"
443,51826,"Boone,IA"
245,61216,"Bremer,IA"
140,55553,"Buchanan,IA"
386,46951,"Buena Vista,IA"
16,52026,"Butler,IA"
21,44484,"Calhoun,IA"
138,48361,"Carroll,IA"
235,43481,"Cass,IA"
192,58088,"Cedar,IA"
1754,44795,"Cerro Gordo,IA"
130,48977,"Cherokee,IA"
84,43971,"Chickasaw,IA"
158,43216,"Clarke,IA"
280,49035,"Clay,IA"
74,47494,"Clayton,IA"
1680,49559,"Clinton,IA"
57,46548,"Crawford,IA"
1191,73847,"Dallas,IA"
25,45040,"Davis,IA"
3,36326,"Decatur,IA"
136,54076,"Delaware,IA"
1680,42451,"Des Moines,IA"
161,56136,"Dickinson,IA"
2293,51475,"Dubuque,IA"
153,48601,"Emmet,IA"
261,45542,"Fayette,IA"
213,43826,"Floyd,IA"
81,48355,"Franklin,IA"
0,50520,"Fremont,IA"
29,45865,"Greene,IA"
82,56827,"Grundy,IA"
60,50609,"Guthrie,IA"
318,43589,"Hamilton,IA"
38,50105,"Hancock,IA"
348,49342,"Hardin,IA"
172,54583,"Harrison,IA"
367,46376,"Henry,IA"
99,46429,"Howard,IA"
88,47897,"Humboldt,IA"
100,43449,"Ida,IA"
198,58008,"Iowa,IA"
323,46467,"Jackson,IA"
823,50513,"Jasper,IA"
310,48814,"Jefferson,IA"
3254,53424,"Johnson,IA"
137,55041,"Jones,IA"
21,42167,"Keokuk,IA"
127,51812,"Kossuth,IA"
1205,42469,"Lee,IA"
6324,57260,"Linn,IA"
110,50583,"Louisa,IA"
263,43288,"Lucas,IA"
114,52152,"Lyon,IA"
141,57581,"Madison,IA"
398,47967,"Mahaska,IA"
268,54723,"Marion,IA"
1159,51555,"Marshall,IA"
413,63076,"Mills,IA"
99,51078,"Mitchell,IA"
134,42025,"Monona,IA"
151,45997,"Monroe,IA"
180,44281,"Montgomery,IA"
1241,51425,"Muscatine,IA"
142,48185,"O'Brien,IA"
12,48659,"Osceola,IA"
405,43010,"Page,IA"
117,44663,"Palo Alto,IA"
255,58888,"Plymouth,IA"
86,44073,"Pocahontas,IA"
16665,59018,"Polk,IA"
5881,51304,"Pottawattamie,IA"
284,50349,"Poweshiek,IA"
