county,state,total_violent_crime,household_income
Randall,TX,5164,58529
Baldwin,GA,1677,32751
Cherokee,TX,1704,38378
Lea,NM,2859,50694
Geary,KS,901,46908
Bay,FL,8281,47461
Washington Parish,LA,1935,31778
Calhoun,TX,692,47027
Johnson,TN,394,29609
Valencia,NM,2341,42506
Gregg,TX,6095,45525
Kleberg,TX,1512,40566
Sheridan,MT,85,48667
Muscogee,GA,12348,41339
Nantucket,MA,417,85478
Decatur,TN,342,36258
Osceola,FL,10595,43891
York,SC,7097,53740
Shawnee,KS,8894,48451
Pennington,SD,4659,50833
Ingham,MI,8772,45321
Cloud,KS,352,38534
Bradford,FL,676,40259
Douglas,NE,23399,53325
Passaic,NJ,13539,57654
Gray,TX,1028,43504
Portsmouth City,VA,5331,46166
Union,NM,152,38902
Hardin,TN,1049,33622
Marion,FL,8943,39453
Palm Beach,FL,50743,52432
Multnomah,OR,41623,52511
Georgetown,SC,2656,40131
Chesterfield,SC,1895,31252
Crisp,GA,1477,35240
Pottawatomie,OK,2884,42764
De Baca,NM,25,37660
Calhoun,SC,613,40704
Radford City,VA,607,30714
Broward,FL,75839,51251
Raleigh,WV,3697,40758
San Miguel,NM,592,28275
Muscatine,IA,1241,51425
Dimmit,TX,493,36681
Lincoln,TN,957,41571
Okaloosa,FL,5930,54684
Reno,KS,3276,43798
Decatur,GA,1149,30619
Hamblen,TN,2745,39596
Ramsey,MN,22167,54247
Hampshire,WV,341,27766
Clinton,IA,1680,49559
Barrow,GA,1988,53274
Coffee,TN,1857,37618
Bourbon,KS,554,39591
Atlantic,NJ,9724,54235
White Pine,NV,170,48586
Sussex,DE,7515,52710
Kanawha,WV,7663,46085
Meigs,TN,334,35150
Richmond,GA,12940,37749
Iron,MO,162,36387
Newberry,SC,1242,41718
Morris,TX,357,37849
Florence,SC,6676,41910
Hunt,TX,3266,44858
Roosevelt,NM,689,38764
Canadian,OK,5204,63629
Liberty,TX,2686,47228
Saluda,SC,529,38514
Lawrence,MO,1416,39334
Charlottesville City,VA,1716,44601
Mercer,NJ,9904,73480
Rutherford,TN,8514,55401
Leavenworth,KS,2102,63435
Scott,IA,5638,52735
Benton,MO,609,32951
Putnam,TN,3241,33709
Dallas,TX,106199,49481
Anne Arundel,MD,17322,87430
Iron,WI,106,39051
Hudson,NJ,15256,58442
Grenada,MS,763,34129
Gulf,FL,338,40455
Monroe,TN,1527,37595
Randolph,WV,826,37276
Laclede,MO,1143,39013
Wilbarger,TX,426,41658
Sweetwater,WY,1155,71525
Hemphill,TX,84,56379
Forest,PA,194,36556
Berrien,MI,5333,43633
Spartanburg,SC,10965,42919
Volusia,FL,19402,42457
Bexar,TX,103495,50112
Worcester,MA,20608,65223
Wichita,TX,6255,42971
Black Hawk,IA,4217,45747
Webb,TX,12294,39449
Lawrence,TN,1428,37368
Pierce,WA,37683,59204
Polk,GA,2106,39208
Kent,MD,444,56259
Cowley,KS,1304,41878
Barton,KS,1130,44981
Hockley,TX,755,50565
Schoolcraft,MI,256,35260
Webster,IA,1509,41624
Rusk,TX,1727,45752
Jackson,FL,1058,36809
Warren,IL,682,43536
Cumberland,TN,2226,37188
Stone,MO,730,40850
Trousdale,TN,187,43034
Barnstable,MA,6780,60526
Coffee,GA,2182,35693
Winkler,TX,96,48992
White,TN,853,34474
Stonewall,TX,11,42429
Tipton,TN,1619,52423
Brazos,TX,6648,38310
Dorchester,SC,5231,53857
Finney,KS,1180,47945
Newport News City,VA,6748,51027
Jasper,MO,6093,40399
Tarrant,TX,75725,56853
Cole,MO,2251,53931
Hopewell City,VA,977,37933
Lake,IN,20490,49035
Orangeburg,SC,4951,34110
Polk,MO,896,39512
Oglethorpe,GA,505,45729
Zavala,TX,210,25625
Dallam,TX,210,40895
Vernon,MO,1275,38679
Hennepin,MN,44720,64403
Allegheny,PA,31505,51366
Ellis,KS,922,43085
Ware,GA,1794,34572
Childress,TX,128,47532
Hidalgo,NM,52,34080
Bartow,GA,4283,47197
Hardin,IL,27,37071
Clay,FL,5118,59482
Elkhart,IN,6058,45693
Washington,TN,4635,42075
Bell,TX,11084,50060
Cedar,MO,391,30302
Charleston,SC,13122,50792
Camden,GA,1656,51990
Greene,TN,2444,35545
Curry,NM,2610,39871
Wharton,TX,1306,40411
Monroe,PA,5171,57408
Fredericksburg City,VA,1222,47040
Massac,IL,403,43615
Logan,WV,702,36999
Lake,MT,845,38019
Pulaski,MO,1358,49820
Kent,MI,17426,51667
Sequatchie,TN,504,36434
Robertson,TN,1679,52792
Henry,MO,886,39839
Clarke,GA,5421,33060
Dunklin,MO,1422,31304
St. Lucie,FL,8092,43413
Uvalde,TX,908,34902
Franklin City,VA,397,31928
Walker,TX,1701,37617
Bacon,GA,205,33757
Smith,TX,7750,47432
Warren,MS,1852,41025
Harvey,KS,1070,50287
El Paso,TX,22636,40157
Sierra,NM,336,27430
Lincoln,GA,249,35625
Colquitt,GA,1906,32484
Roosevelt,MT,315,36920
Macon,IL,3420,46559
Jennings,IN,855,44128
Chatham,GA,11206,45794
Shannon,MO,163,31132
Caddo,OK,621,39267
Adams,IA,64,45871
Liberty,GA,2415,43832
Panola,MS,1793,35715
Bedford,TN,1105,40759
Buchanan,MO,5394,44363
Ford,KS,1348,51178
Angelina,TX,3465,41354
Berkeley,SC,6802,52427
Irwin,GA,293,40771
Stephens,GA,1012,37898
Navarro,TX,2049,40795
Giles,TN,783,38495
Jasper,TX,912,40417
Pickens,SC,5161,41788
Warren,TN,1212,34641
Elbert,GA,835,35817
Terrell,GA,184,32628
Scott,KY,1615,61893
Charles,MD,3955,93160
Allendale,SC,381,25252
Grimes,TX,669,43994
Kalamazoo,MI,8428,45775
Crawford,GA,491,41586
Washoe,NV,13016,53040
Rock Island,IL,4457,48702
Anderson,TX,1591,40653
