county,state,total_violent_crime,household_income
Cumberland,IL,114,43958
Piscataquis,ME,347,36646
Dent,MO,327,36311
Baker,GA,37,27353
Jefferson,WA,795,46320
Custer,MT,264,43524
Pulaski,VA,1228,44312
Zapata,TX,198,31109
Nowata,OK,193,39430
Iosco,MI,649,36236
Spotsylvania,VA,2605,78345
Washington,TX,783,44858
Whatcom,WA,6522,51939
Dinwiddie,VA,486,52027
Brantley,GA,386,36070
Belknap,NH,2034,58654
Camden,MO,1047,43458
Brooks,TX,155,21865
Henderson,KY,1161,41940
Stearns,MN,3884,54551
Ada,ID,9076,55210
Lewis,WA,2208,42860
Oakland,MI,24840,65594
Weber,UT,7760,54974
Wabash,IL,299,47365
Lenawee,MI,1768,47766
Polk,TX,1232,37855
Brule,SD,111,45284
Roberts,SD,114,47191
Pushmataha,OK,227,29897
Roane,WV,229,28513
Comanche,KS,13,39375
Murray,OK,256,44151
Schuylkill,PA,2627,45012
Fayette,TN,526,56618
Brown,IL,53,42194
Amelia,VA,179,52885
Branch,MI,822,41856
Lincoln,OK,779,42668
Kiowa,OK,273,36281
Ellsworth,KS,111,45865
Humphreys,TN,354,42846
Pine,MN,1109,43928
Titus,TX,974,42939
Harrison,MS,8224,43124
Clay,KS,173,45233
Coffey,KS,109,51793
Jefferson,MO,4827,54845
Van Buren,IA,77,43181
Hays,TX,3805,58651
Strafford,NH,3456,58825
Ravalli,MT,701,38688
Greene,PA,862,44388
Allegan,MI,2162,52061
Snohomish,WA,23138,68381
Catoosa,GA,2049,47087
Owyhee,ID,164,32175
Crawford,MO,544,35897
Lunenburg,VA,140,35237
Kenosha,WI,4701,54930
Swift,MN,173,48026
Cochran,TX,128,38650
Taylor,KY,620,36384
Kenton,KY,4597,54270
Warren,KY,4111,44135
Stoddard,MO,725,37965
Miami,KS,759,58936
Wilson,KS,253,38917
Beaver,OK,90,51422
Linn,IA,6324,57260
Mahaska,IA,398,47967
Grays Harbor,WA,2419,42405
Washington,PA,4063,53693
Ness,KS,34,48800
Mineral,NV,67,35017
Bremer,IA,245,61216
Gilchrist,FL,280,38406
Otsego,MI,490,47584
Sussex,VA,182,39635
Northampton,PA,6343,60097
Skagit,WA,5151,55925
Berrien,GA,472,32258
Austin,TX,548,53265
Clark,KY,1363,45853
Cherokee,OK,1077,37260
Guadalupe,TX,3286,61958
Fannin,TX,638,44355
Braxton,WV,191,31848
Cumberland,VA,117,40557
Edgefield,SC,575,43861
Macon,GA,627,30240
Wright,IA,180,45205
Pickens,GA,682,51383
Cooper,MO,484,45992
Juneau,WI,508,45297
Dodge,MN,314,69301
Refugio,TX,115,44548
Hamilton,KS,24,43357
Roscommon,MI,584,33334
Dukes,MA,453,66288
Marion,MS,638,29400
Caribou,ID,47,53586
Rabun,GA,385,35423
Hillsdale,MI,760,41759
Redwood,MN,253,47447
Franklin,VT,1243,56240
Howard,MD,7077,109865
Pierce,WI,819,59226
Accomack,VA,727,39328
Brown,SD,615,51398
Rains,TX,206,44478
Winnebago,WI,3711,51010
Koochiching,MN,313,41108
Butte,ID,6,41131
Floyd,IN,2984,53961
Falls,TX,193,32908
Lincoln,NE,1331,48158
Crane,TX,56,50417
Dawson,TX,342,39714
Cass,MO,2385,60350
Sawyer,WI,444,39904
Natrona,WY,2521,57791
Okmulgee,OK,1058,39156
Franklin,MO,2783,48857
Wheatland,MT,9,31867
Moody,SD,100,51791
Haskell,TX,91,36857
Monroe,IA,151,45997
White,GA,718,40670
Churchill,NV,623,49830
Bonneville,ID,2603,50872
Gallatin,MT,2421,52833
Campbell,KY,3362,54306
Van Zandt,TX,1128,43439
Blanco,TX,149,49487
Floyd,IA,213,43826
Coos,OR,2151,37940
Menard,TX,7,31215
Gooding,ID,280,37050
Montcalm,MI,1431,40451
Carroll,NH,1201,50866
Norfolk,MA,10941,84916
Box Elder,UT,1267,57292
Coryell,TX,1399,49819
Montgomery,MD,19559,98221
Taos,NM,576,32637
Mecklenburg,VA,799,36261
Henry,GA,6403,60781
Cameron,PA,110,41410
Cherokee,IA,130,48977
Stafford,KS,78,43292
Adams,NE,1110,49440
Lampasas,TX,437,49277
Bee,TX,439,43690
Carroll,MD,3051,84790
Whiteside,IL,1524,47667
Sevier,UT,606,46229
Alpena,MI,619,38016
Union,IL,269,41848
Lycoming,PA,2755,45430
Walworth,SD,93,41826
Marshall,IL,129,51504
Menominee,MI,593,41739
Upson,GA,955,35329
Hamilton,TX,139,40655
Phillips,KS,35,43059
Clay,TN,112,29727
Morgan,GA,445,47729
Rogers,OK,1339,58525
Teton,WY,277,68078
Macoupin,IL,702,49590
Kimble,TX,77,43424
Gage,NE,641,47654
Webster,MO,822,44596
Douglas,MO,250,32130
Henrico,VA,8503,61048
Unicoi,TN,440,32292
Monmouth,NJ,13263,84526
Staunton City,VA,582,38501
Rutland,VT,2328,49271
Cass,IA,235,43481
Delaware,OK,731,36588
La Salle,TX,59,26756
Neshoba,MS,371,37050
Comanche,TX,315,36020
Taliaferro,GA,61,25465
Montgomery,KY,1078,37312
Fulton,IL,682,45130
Fayette,IA,261,45542
Coleman,TX,289,31373
Dallas,MO,414,40120
Audrain,MO,534,43013
Washington,MO,632,34702
Noble,OK,208,44842
Grand Traverse,MI,1291,51766
Kosciusko,IN,1356,50859
Eaton,MI,2177,54115
Hopkins,TX,420,43657
Palo Alto,IA,117,44663
Wheeler,TX,82,51766
Millard,UT,281,49238
Oneida,WI,775,45759
Columbia,WA,172,42519
Christian,MO,1527,52838
Bulloch,GA,2465,35840
Iowa,WI,302,55659
Hall,GA,4671,50853
Wise,VA,952,36218
Fayette,IL,388,44722
Jersey,IL,449,53954
Kandiyohi,MN,1015,50149
Deaf Smith,TX,422,41444
Montgomery,PA,16433,79183
White,IN,322,51444
Ottawa,MI,5633,56453
Caldwell,KY,291,37127
Washita,OK,178,46686
Burnet,TX,921,48115
Newport,RI,2226,71713
Huntingdon,PA,625,44183
Charlotte,VA,157,33015
Harper,KS,127,38313
Monroe,WV,163,41234
La Crosse,WI,3366,51339
Montgomery,TX,10125,67766
Beaver,UT,48,46660
Emmet,IA,153,48601
Brown,KS,221,39968
Sheboygan,WI,2656,52920
Prairie,MT,8,38036
Halifax,VA,1000,34659
Martin,TX,71,42607
Carter,TN,1614,31842
Perry,IL,232,42078
Daviess,KY,3380,46555
Lincoln,MO,855,52835
Olmsted,MN,3378,66252
Lavaca,TX,380,44149
Washington,UT,3070,49279
Randolph,MO,755,37203
Bartholomew,IN,2893,54165
Kennebec,ME,3840,46808
Tazewell,VA,1336,35693
Pocahontas,IA,86,44073
Stanley,SD,38,54620
Will,IL,12676,76147
Phillips,MT,84,42632
Virginia Beach City,VA,12653,65219
Duchesne,UT,594,57683
Forrest,MS,2808,36726
Grainger,TN,512,32364
Oscoda,MI,253,33239
Orange,IN,102,38826
Medina,TX,665,55326
Middlesex,NJ,15271,79596
Baylor,TX,58,33445
Lancaster,PA,11233,56483
Tuscola,MI,911,43039
Karnes,TX,427,42862
Boyd,KY,1691,40379
Coweta,GA,2920,60813
Atchison,MO,59,44426
Northampton,VA,272,33635
Nottoway,VA,325,36607
Lyon,MN,486,49594
Perry,PA,789,57375
Alexandria City,VA,3287,85706
Carroll,MO,138,46002
Marquette,MI,1523,45622
Madison,KY,3161,42312
Franklin,GA,556,34830
Langlade,WI,845,42389
Jessamine,KY,1867,49024
Fremont,WY,1095,50418
Miller,MO,664,35507
Chattooga,GA,535,33228
Texas,OK,454,49901
Kane,IL,8879,69530
Bryan,GA,656,64707
Appling,GA,628,36786
Montgomery,IN,1051,46797
Chester,PA,8518,86050
Johnson,WY,173,57004
Dubuque,IA,2293,51475
Shelby,MO,49,35938
Gem,ID,145,44432
Okfuskee,OK,387,35170
Denton,TX,16044,74155
Atascosa,TX,1336,47543
Outagamie,WI,3278,58318
Oktibbeha,MS,1560,30987
Buchanan,VA,514,29848
Jasper,IA,823,50513
Baraga,MI,60,41189
Beckham,OK,531,48989
Daviess,IN,776,47165
Nassau,FL,1543,55315
Crow Wing,MN,1881,47058
Eau Claire,WI,2298,48090
Delaware,IA,136,54076
Roanoke,VA,1681,60795
Ritchie,WV,127,35769
Summit,UT,1013,83336
Gloucester,NJ,8105,74524
Lapeer,MI,1298,52939
Dade,MO,83,35483
Jackson,IA,323,46467
Piatt,IL,179,63027
Ontonagon,MI,74,34620
Buckingham,VA,429,38648
Alger,MI,114,37586
Valley,MT,78,47181
Washington,OR,11344,64180
Chippewa,MN,160,49434
Borden,TX,7,71607
Ferry,WA,62,37571
Lincoln,WI,583,49021
Chelan,WA,2139,51354
Madison,GA,801,42549
Foard,TX,3,33750
Bleckley,GA,392,36073
Mifflin,PA,1071,40384
Long,GA,330,42651
Iron,MI,224,34685
Liberty,FL,66,39681
Barry,MI,831,52186
Greenwood,KS,83,38346
Bolivar,MS,933,28599
Westmoreland,PA,5912,50736
Fisher,TX,72,42125
Bennington,VT,1023,50221
Nez Perce,ID,1467,46503
Arenac,MI,265,38874
Talbot,GA,121,32424
Meagher,MT,25,38182
Summers,WV,299,33784
Johnston,OK,85,36192
Rawlins,KS,38,43482
Hall,TX,52,33006
Grady,GA,535,30571
Antrim,MI,439,45362
Dixon,NE,98,47325
Monona,IA,134,42025
Hardin,TX,997,53013
Twiggs,GA,180,31234
Clarion,PA,713,42389
Houston,TX,431,33119
Delta,TX,138,40375
Oceana,MI,565,40023
Moniteau,MO,234,47118
Santa Rosa,FL,2498,57703
Spink,SD,55,48911
Sullivan,NH,983,54463
Lake,IL,13755,77469
Union,IA,169,44838
Burlington,NJ,8807,78446
Lincoln,ID,21,42433
Montgomery,MO,206,40236
Paulding,GA,3200,61837
Kerr,TX,1093,43601
Jay,IN,403,40235
Marshall,KS,173,44032
Latah,ID,903,41735
Jackson,KS,254,54546
Johnson,KS,12343,74717
Simpson,MS,395,38362
Jackson,GA,1343,53179
Grant,IN,1937,39747
Southampton,VA,383,46150
Judith Basin,MT,7,41932
Pennington,MN,316,45633
Culpeper,VA,966,64423
Concho,TX,11,51411
Union,OR,789,42542
Bingham,ID,827,47941
Dickinson,KS,514,48890
Brazoria,TX,6844,67603
Todd,MN,390,45000
Gasconade,MO,304,41392
Collin,TX,18613,82762
Marion,IA,268,54723
Pend Oreille,WA,499,40567
Young,TX,491,44429
Iowa,IA,198,58008
Grant,WI,1071,46963
Prince William,VA,7673,98071
Perry,MO,300,47876
Jefferson,PA,548,41262
Chittenden,VT,5053,63989
Washburn,WI,290,41924
Columbia,WI,1023,57922
Wise,TX,962,56005
Bradford,PA,1325,46963
Columbia,OR,919,54968
Greer,OK,49,39900
Gibson,IN,551,49329
Cassia,ID,389,42039
Charlevoix,MI,423,45949
Smyth,VA,761,37239
Madison,TX,220,41732
Logan,KY,503,36590
Colfax,NM,359,37734
Grundy,MO,261,37964
Sabine,TX,141,32963
Mason,KY,578,41137
Dallas,IA,1191,73847
Monroe,GA,565,48630
Caledonia,VT,722,45395
Hot Springs,WY,92,42019
Erath,TX,969,39586
York,ME,4890,57348
Umatilla,OR,2740,48389
Choctaw,MS,78,29876
Williamson,TX,9212,71803
Greensville,VA,137,39697
Ellis,TX,3731,61952
Potter,PA,215,41547
Morgan,WV,261,36046
Story,IA,2180,50516
Jo Daviess,IL,240,50817
Benton,MN,664,52200
Lemhi,ID,61,34122
Stafford,VA,2480,97110
Power,ID,115,44212
Pontotoc,MS,477,39899
Island,WA,1628,58455
Goodhue,MN,1164,56836
Sumter,FL,1078,48493
Saline,MO,504,39519
Wabaunsee,KS,78,54694
Louisa,IA,110,50583
Rock,NE,9,43500
Hopkins,KY,1041,40891
Wasco,OR,872,43765
Androscoggin,ME,3447,44921
Morrow,OR,282,49940
Johnson,MO,1467,47223
Fulton,KY,153,33582
Habersham,GA,939,39306
Chautauqua,KS,55,39529
Charles Mix,SD,88,40102
Stephens,TX,128,41728
Gratiot,MI,688,40359
Bailey,TX,199,46139
Harrison,KY,617,36048
Franklin,PA,2729,52637
Clearwater,ID,171,40134
Orleans,VT,513,41953
Bell,KY,1039,26228
Boone,KY,3448,67225
Burleson,TX,224,45651
Aitkin,MN,478,41617
Sauk,WI,2006,52140
Towns,GA,210,36570
Latimer,OK,107,40970
Lee,VA,469,31308
Graves,KY,551,38394
Woodford,KY,783,57580
Archer,TX,108,56452
St. Charles,MO,7327,71077
Bureau,IL,572,48977
Anoka,MN,9812,70380
Val Verde,TX,924,40450
Hardin,IA,348,49342
Cheshire,NH,1462,55155
Benton,IN,65,48711
Clark,KS,35,41129
Cass,MI,1000,44346
Idaho,ID,159,37349
Manitowoc,WI,1671,48881
Coal,OK,85,34867
Red River,TX,234,31712
Calhoun,FL,134,32780
Bollinger,MO,142,37716
Reeves,TX,328,40571
Charlton,GA,213,40111
Arlington,VA,4658,103208
Rice,MN,1427,59915
Clay,MN,1245,52410
Douglas,OR,3367,40524
Pike,IN,303,40680
Goliad,TX,126,50923
Walthall,MS,220,31090
Dunn,WI,806,48893
Roger Mills,OK,46,53885
Washington,ME,648,37236
Love,OK,136,43260
Ohio,KY,333,40830
Montague,TX,517,44231
Trigg,KY,225,45629
Cumberland,ME,7807,57461
Knox,TX,38,34295
Ionia,MI,1079,47892
Carlton,MN,939,53016
Lawrence,SD,699,43273
Alcona,MI,221,37189
Itawamba,MS,342,36073
Vermillion,IN,189,42524
Trinity,TX,213,34555
Sanders,MT,152,32881
Somerset,PA,913,43597
Rusk,WI,131,38658
Williamsburg City,VA,493,48616
Chippewa,WI,1144,50551
Holt,MO,104,42979
Osborne,KS,97,37925
Clinton,MI,1008,60466
Clark,MO,50,40204
Manassas Park City,VA,255,71227
Washington,VT,1675,57281
Williamson,TN,2578,89779
Merrimack,NH,2988,65353
Tucker,WV,53,37635
Calumet,WI,653,65130
Shelby,KY,948,57298
Pondera,MT,50,41277
Campbell,WY,1498,79488
Hood,TX,1155,55754
Dawson,NE,524,46078
Venango,PA,881,41977
Nemaha,KS,105,47122
Franklin,ME,721,41626
Huntington,IN,666,46148
Susquehanna,PA,568,48231
Lewis,WV,176,36199
Wallace,KS,4,47454
Calloway,KY,1129,39677
Frio,TX,395,35849
Columbia,PA,1611,44807
Prince Edward,VA,521,37436
Calvert,MD,1831,95477
San Juan,UT,172,40492
Howard,MO,78,42747
Emmet,MI,545,50929
Clinton,IL,460,61720
Wheeler,GA,103,24382
Yamhill,OR,2251,54535
Ida,IA,100,43449
Chesterfield,VA,7416,72088
Page,VA,493,42906
Somerset,ME,1694,38642
Decatur,IN,161,48047
Bayfield,WI,315,44944
Big Horn,WY,63,52589
Randolph,GA,121,30023
Huron,MI,552,40204
Irion,TX,36,50357
Sullivan,MO,90,36676
Dewey,OK,58,46488
York,VA,1449,82073
Pike,PA,1153,59340
Kent,RI,3927,62279
Jackson,TX,218,49528
Kendall,IL,1857,81765
Wood,TX,859,43649
Caroline,VA,453,57218
Fulton,PA,212,48461
Clinton,PA,775,42184
Christian,IL,395,45145
Henry,IL,871,52940
Yoakum,TX,166,49340
Marshall,KY,542,43907
Wilkin,MN,121,50507
Morris,KS,122,47445
Jefferson,WI,1531,53454
Marathon,WI,2433,53363
Montgomery,VA,1973,45543
Grafton,NH,1829,54912
Midland,MI,1053,53076
Livingston,MO,378,40116
Louisa,VA,533,54518
Nodaway,MO,411,36641
Lincoln,ME,609,50181
Wayne,PA,939,49313
Whitley,KY,611,29769
Washington,VA,1308,41897
Ballard,KY,179,44588
Evans,GA,173,36788
Ellis,OK,45,47344
Patrick,VA,337,34864
Alfalfa,OK,52,44811
Sublette,WY,96,77900
Dakota,NE,423,47069
Worth,IA,123,50476
Hood River,OR,210,56725
Grant,WV,78,41368
Clay,WV,79,31613
Pulaski,KY,1598,34092
Clarke,VA,202,77597
Callahan,TX,121,44902
Minidoka,ID,371,43266
Niobrara,WY,11,38438
Rockingham,NH,6204,77348
Seminole,OK,852,33819
Hand,SD,19,47679
Schley,GA,60,38425
Linn,OR,3899,46939
Augusta,VA,948,52027
Campbell,VA,933,47162
Albany,WY,982,42774
Walworth,WI,2038,54020
Oconee,GA,531,75004
Dakota,MN,9746,73732
Wetzel,WV,186,37969
Major,OK,181,49905
Shenandoah,VA,782,49625
Bullitt,KY,1542,54836
Winston,MS,133,30821
Pacific,WA,612,39830
Meeker,MN,431,53904
Wilkinson,GA,163,36173
Starke,IN,225,40126
Freeborn,MN,682,44683
Miami,IN,402,42023
Jefferson,WV,903,65304
Barren,KY,611,38873
Fremont,ID,128,44520
Nobles,MN,255,48208
Sherman,OR,44,42639
Hardin,KY,2206,48687
Chickasaw,MS,80,31061
Skamania,WA,127,53712
Waseca,MN,332,53657
Craig,VA,17,47806
Montgomery,IA,180,44281
Klickitat,WA,348,41694
Bourbon,KY,468,40933
Cerro Gordo,IA,1754,44795
Marshall,IN,892,45709
Parker,TX,2476,64515
Harrison,MO,118,37739
Mason,WV,427,38411
Franklin,IA,81,48355
Oxford,ME,1592,40674
Harris,GA,405,69223
Butler,PA,2580,58230
Tioga,PA,663,44187
Stevens,MN,189,54206
Missaukee,MI,283,41061
Jefferson,MT,116,60863
New Kent,VA,360,70618
Faribault,MN,192,44264
Kittitas,WA,1436,42982
Douglas,NV,888,60100
Windsor,VT,1179,52460
Adams,WI,607,44897
Adams,PA,1343,59492
Nelson,KY,781,43833
Nemaha,NE,45,42672
Daniels,MT,7,46100
Bandera,TX,145,49215
Hanover,VA,1333,75070
Cheyenne,KS,39,37875
Carter,MO,51,30962
Gaines,TX,226,52910
Waushara,WI,474,43070
Benton,OR,1956,48604
Martin,KY,129,26261
Buffalo,NE,1145,50963
Parmer,TX,94,44943
Dawes,NE,189,40359
Rice,KS,118,45336
Frederick,VA,1743,68424
Scott,MN,2674,86112
Sac,IA,77,48093
Tripp,SD,31,39324
Sweet Grass,MT,55,45938
Waupaca,WI,1192,50822
Cheboygan,MI,525,38410
Cedar,IA,192,58088
Sherburne,MN,1597,73098
Wadena,MN,121,36928
Kendall,TX,649,73410
Phelps,NE,172,50000
Gove,KS,23,44866
Franklin,VA,925,45624
Washington,IN,83,41986
Westmoreland,VA,237,49157
Watonwan,MN,161,49698
Brewster,TX,141,40477
Turner,SD,57,51925
Poquoson City,VA,182,81892
Whitman,WA,762,36257
Clarke,IA,158,43216
Gogebic,MI,297,34252
Jackson,WI,392,44149
Coos,NH,544,41985
Gallatin,KY,124,43793
Grayson,VA,203,30710
Clay,MO,3062,60936
Brooke,WV,348,42493
Alleghany,VA,271,44848
Portage,WI,1270,50996
Porter,IN,3311,62794
Effingham,IL,656,52108
Lynn,TX,102,44375
Madison,MO,236,35870
Wayne,MO,150,33159
Ocean,NJ,11914,61136
Clackamas,OR,9834,64352
Saline,NE,302,44109
Albemarle,VA,1905,67725
Gilmer,WV,59,38442
Republic,KS,58,39572
Lincoln,MS,608,36498
Lafayette,MO,706,50527
Lincoln,MN,26,47861
Chouteau,MT,28,40070
Monroe,MO,100,40657
Hodgeman,KS,26,52375
Bucks,PA,13035,76555
Tipton,IN,292,52686
Wythe,VA,310,41275
Rockwall,TX,1470,86119
Monroe,WI,1176,49774
Nelson,VA,268,48789
Boundary,ID,158,37003
Stevens,WA,964,41742
Sioux,IA,205,57227
Wilson,TX,665,64571
Greene,VA,274,59358
Bonner,ID,1006,41414
Platte,MO,984,67721
Otter Tail,MN,987,48961
Fayette,TX,306,48015
Barron,WI,650,44054
Trego,KS,42,45714
Carroll,KY,183,40160
Randolph,IL,289,47427
Grant,MN,102,50030
Chase,NE,39,45610
Wyoming,PA,428,48482
Red Willow,NE,289,42345
Gray,KS,59,57808
Castro,TX,233,36402
Norton City,VA,219,39416
James City,VA,1037,76960
Logan,OK,813,53591
Douglas,WA,885,51908
Stephenson,IL,1183,43472
Pickett,TN,68,35184
Hendricks,IN,1921,68297
Martin,MN,336,48530
Centre,PA,2375,50336
Lee,IL,665,50060
Texas,MO,613,36082
Scott,VA,420,38355
Armstrong,PA,703,45241
Rosebud,MT,56,48789
Perry,KY,414,33528
Grayson,KY,389,32399
Mellette,SD,19,35109
Adair,KY,121,32524
Pendleton,KY,223,45480
Todd,KY,159,41541
Camas,ID,10,41154
Doddridge,WV,46,34817
Worth,MO,42,39348
Warren,VA,912,61610
Craig,OK,220,39236
Coahoma,MS,952,26407
Oldham,TX,28,48929
Gloucester,VA,726,60519
Montgomery,MS,44,30466
Cass,NE,518,64697
Schuyler,IL,69,48138
Sheridan,WY,543,52008
Nicollet,MN,603,60115
Franklin,TX,115,45523
Mercer,KY,295,45396
Clay,KY,170,21883
Atoka,OK,269,37012
Jackson,SD,11,46224
Bergen,NJ,12280,83794
Steele,MN,769,56480
Attala,MS,155,31641
Douglas,MN,563,50905
Crawford,PA,1516,42504
Madison,MS,1456,59904
Greenbrier,WV,544,37895
King George,VA,377,81753
Hubbard,MN,477,45961
Presque Isle,MI,136,39652
Kearney,NE,198,56466
Cherokee,GA,3338,67261
Edmonson,KY,102,37646
Madison,MT,67,47762
Davis,UT,6869,69707
Penobscot,ME,4782,43734
Dodge,NE,910,48626
Northumberland,VA,73,51342
Effingham,GA,613,63030
Mathews,VA,132,55192
Jefferson,OR,546,43373
Marion,KY,281,38719
Rockbridge,VA,390,48313
Washington,WI,2392,66159
Leon,TX,243,44452
Real,TX,20,33885
Orange,VA,408,60287
Jefferson,IA,310,48814
Cheyenne,NE,112,51529
Laurel,KY,1034,36570
Norton,KS,77,46029
Shawano,WI,891,46559
Falls Church City,VA,223,120000
Jeff Davis,TX,10,49056
Giles,VA,307,45141
Livingston,MI,2270,72359
Botetourt,VA,318,65935
Hamilton,NE,144,56065
Fall River,SD,31,37667
Fairfax City,VA,469,97242
Lincoln,WA,209,47195
Dickens,TX,15,38401
Traverse,MN,41,45714
Carroll,VA,505,32853
King William,VA,164,62670
Hughes,OK,188,34619
Union,KY,147,39125
Keith,NE,146,41970
Butler,KY,126,35430
Prince George,VA,507,63074
Bledsoe,TN,117,33443
Livingston,KY,109,40313
Forsyth,GA,2029,86569
Houston,MN,152,52545
Madison,NE,930,46566
Kossuth,IA,127,51812
Allamakee,IA,141,48831
Stark,IL,75,54203
Ripley,IN,459,47537
Loudoun,VA,4301,122238
Aroostook,ME,1288,37855
Charles City,VA,18,48428
Bear Lake,ID,102,44964
Jones,GA,586,51497
Dickenson,VA,222,33318
Potter,SD,3,44556
Crook,WY,149,53237
Union,GA,315,40009
Crosby,TX,52,38187
Madison,VA,169,53459
Bristol,RI,772,71238
Carson,TX,60,65026
Rankin,MS,2157,57380
Nance,NE,29,44286
Ottawa,KS,111,58396
Teton,MT,59,43327
Rush,IN,505,47401
Sterling,TX,3,50543
Winona,MN,764,47468
San Juan,WA,230,53376
Fauquier,VA,817,88409
Pepin,WI,92,47701
Sanpete,UT,393,48369
Becker,MN,341,50214
Kimball,NE,29,42180
Harlan,KY,262,25906
Curry,OR,422,39516
Pike,MO,326,39850
Andrew,MO,169,54336
Rappahannock,VA,22,56438
Blackford,IN,276,39225
Madison,ID,343,32059
Warren,NJ,1762,70912
Chisago,MN,662,67157
Glasscock,TX,14,69107
Lamoille,VT,423,52686
Fairfax,VA,16586,110292
Price,WI,228,42644
Elk,PA,702,45767
Harding,SD,1,44353
Clearwater,MN,104,43269
Gillespie,TX,363,53668
Hancock,GA,127,25000
Clayton,IA,74,47494
Martin,IN,117,44740
Lawrence,IL,146,40145
Ralls,MO,215,47969
Fayette,GA,1631,79977
Bosque,TX,210,44742
Newton,IN,218,50262
Franklin,ID,118,44962
Stone,MS,134,42963
Greeley,KS,5,52847
Cottonwood,MN,154,45294
Roseau,MN,140,50759
Meade,SD,269,49324
Thayer,NE,84,44422
Rooks,KS,41,42449
Dodge,WI,1446,53075
Forest,WI,218,39963
Hancock,ME,1100,47460
Hancock,WV,316,38522
Rockingham,VA,791,52195
Knox,ME,846,49755
Winnebago,IA,55,45603
Knox,KY,433,24038
Cumberland,PA,4057,60826
Beaverhead,MT,85,41614
Sutton,TX,32,53806
Montmorency,MI,52,35261
Guthrie,IA,60,50609
Buena Vista City,VA,65,36591
Monroe,MS,507,36308
Clay,IN,282,46430
Benzie,MI,184,47366
Emery,UT,199,52763
Wahkiakum,WA,23,41815
Custer,NE,118,44873
Harrison,IN,520,50510
Goochland,VA,228,80976
Fulton,IN,138,40168
Scotts Bluff,NE,863,43444
Pope,MN,96,52350
Morrison,MN,410,47649
Tallahatchie,MS,81,29853
Green,WI,709,55584
Wayne,KY,241,29497
Daviess,MO,103,42393
Lancaster,VA,139,49248
Door,WI,346,50438
Green,KY,79,34406
Utah,UT,10533,60196
Union,PA,524,48528
O'Brien,IA,142,48185
Nicholas,KY,56,43081
Platte,NE,657,51213
Murray,MN,50,52160
Morris,NJ,5555,98633
Weston,WY,96,55461
Clatsop,OR,828,44683
Hitchcock,NE,25,39702
Deuel,SD,36,51632
Yellow Medicine,MN,52,52510
Iroquois,IL,423,47079
Lee,KY,63,22920
Schuyler,MO,30,34688
St. Croix,WI,1311,68426
Juniata,PA,238,46163
Perkins,NE,13,58625
Davis,IA,25,45040
Johnson,KY,234,34090
Audubon,IA,27,48313
Nuckolls,NE,24,37594
Washington,MN,6063,81540
Trempealeau,WI,318,49143
Moultrie,IL,120,46622
Hamlin,SD,52,55563
Pendleton,WV,58,34175
Adair,IA,78,47892
Jefferson,ID,183,52023
Somerset,NJ,4719,99020
Tishomingo,MS,124,32592
Woods,OK,114,51619
Houghton,MI,515,35430
Marquette,WI,241,46077
Osage,MO,149,51408
Grundy,IL,1058,64541
Clay,GA,4,21192
Hancock,IN,816,62981
Fluvanna,VA,230,68288
Holmes,MS,34,22325
Meade,KY,245,46756
Middlesex,VA,62,53309
Grundy,IA,82,56827
Chickasaw,IA,84,43971
Carroll,IN,341,50542
Rowan,KY,320,35236
Moore,TN,93,46170
Lee,MS,868,42074
Hickman,KY,34,34029
Wright,MN,2422,71598
Carver,MN,1155,83773
Tattnall,GA,425,37587
Throckmorton,TX,6,39286
Casey,KY,115,29934
Amite,MS,10,30750
Antelope,NE,18,43518
Waukesha,WI,5250,75850
Pike,GA,125,53865
Dubois,IN,292,54780
Washington,RI,2128,72138
Scotland,MO,86,39028
Burt,NE,39,46817
Hudspeth,TX,32,22545
Webster,MS,41,33524
Lincoln,WY,143,64205
Breckinridge,KY,87,38907
Addison,VT,581,57565
Treutlen,GA,80,37894
Ringgold,IA,13,44551
Garrard,KY,169,44652
Lewis,MO,133,42071
Washakie,WY,52,47104
Custer,SD,38,50074
Cumberland,KY,54,31593
Brunswick,VA,159,36293
Noble,IN,675,47117
Orange,VT,475,52480
Hanson,SD,5,55815
Woodford,IL,408,66639
Jackson,MN,107,51681
Teton,ID,62,53931
Johnson,NE,26,42364
Parke,IN,48,43870
Green Lake,WI,344,46994
Juab,UT,188,55247
Floyd,VA,154,44618
Somervell,TX,114,55269
Sussex,NJ,1894,87335
Sagadahoc,ME,795,56733
Hancock,MS,413,44522
Columbia,GA,2684,69306
Lawrence,KY,146,33525
Spencer,KY,158,65209
Russell,KY,168,29721
Powell,KY,183,26839
Harney,OR,185,38113
Bedford,VA,828,57596
Sarpy,NE,2693,69965
Harrison,IA,172,54583
Copiah,MS,140,35421
Tillamook,OR,555,43676
Anderson,KY,180,52646
Jackson,WV,261,40376
Tippah,MS,116,34636
Dearborn,IN,601,56946
Hancock,IA,38,50105
Crittenden,KY,110,34261
Ozaukee,WI,954,75457
Waldo,ME,729,42221
Powhatan,VA,255,76548
Edwards,TX,27,43839
Taylor,WV,55,39536
Marinette,WI,1109,40490
Fillmore,MN,133,50657
Lamar,MS,1062,51154
Knox,IN,977,42119
Pearl River,MS,543,42510
Grant,KY,285,46159
Cache,UT,2007,49506
Plymouth,IA,255,58888
Cass,IN,1288,41940
Greene,IN,414,43980
Sullivan,IN,344,43510
George,MS,163,43958
